Symbol,is_valid,Series,ClosePrice21102022,TotalTradedQuantity21102022,TurnoverInLacs21102022,DeliveryQuantity21102022,DeliveryPercentage21102022
ADANIPORTS,1, EQ, 801.65, 5266210, 42650.41, 1584778, 30.09
APOLLOHOSP,1, EQ, 4389.05, 364601, 16012.45, 165882, 45.50
ASIANPAINT,1, EQ, 3092.40, 1738731, 54020.34, 749836, 43.13
AXISBANK,1, EQ, 900.40, 58057724, 512243.83, 23548545, 40.56
BAJAJ-AUTO,1, EQ, 3668.60, 207556, 7630.64, 80225, 38.65
BAJAJFINSV,1, EQ, 1684.45, 2734130, 46579.78, 705851, 25.82
BAJFINANCE,1, EQ, 7192.75, 2386960, 173924.05, 853234, 35.75
BHARTIARTL,1, EQ, 797.45, 4807736, 38369.05, 3492251, 72.64
BPCL,1, EQ, 298.35, 2189082, 6542.99, 805376, 36.79
BRITANNIA,1, EQ, 3792.70, 404955, 15358.75, 262497, 64.82
CIPLA,1, EQ, 1134.75, 1349759, 15365.76, 789291, 58.48
COALINDIA,1, EQ, 238.70, 3285505, 7867.33, 1157110, 35.22
DIVISLAB,1, EQ, 3571.40, 397013, 14330.72, 258484, 65.11
DRREDDY,1, EQ, 4330.80, 200595, 8739.29, 91158, 45.44
EICHERMOT,1, EQ, 3629.50, 532326, 19251.34, 198236, 37.24
GRASIM,1, EQ, 1677.05, 469610, 7945.07, 139513, 29.71
HCLTECH,1, EQ, 1027.20, 2071897, 21192.00, 1166146, 56.28
HDFC,1, EQ, 2349.90, 3242255, 76528.66, 2375411, 73.26
HDFCBANK,1, EQ, 1438.60, 5246303, 75901.44, 3357945, 64.01
HDFCLIFE,1, EQ, 541.95, 4221644, 22914.35, 2185739, 51.77
HEROMOTOCO,1, EQ, 2569.85, 360297, 9233.51, 197408, 54.79
HINDALCO,1, EQ, 393.75, 7988528, 31295.47, 3699496, 46.31
HINDUNILVR,1, EQ, 2653.90, 2458302, 65070.80, 1429411, 58.15
ICICIBANK,1, EQ, 907.15, 17022807, 153687.60, 11281801, 66.27
INDUSINDBK,1, EQ, 1142.25, 5309754, 61156.13, 1660218, 31.27
INFY,1, EQ, 1500.50, 3594485, 53911.89, 2370366, 65.94
ITC,1, EQ, 345.60, 27372160, 95487.94, 10905629, 39.84
JSWSTEEL,1, EQ, 622.05, 2547197, 15837.07, 884986, 34.74
KOTAKBANK,1, EQ, 1902.65, 3941971, 74920.54, 2334406, 59.22
LT,1, EQ, 1876.75, 2225676, 42178.09, 1543761, 69.36
MARUTI,1, EQ, 8703.30, 356203, 31056.56, 203216, 57.05
NTPC,1, EQ, 165.05, 7414335, 12295.68, 3909911, 52.73
ONGC,1, EQ, 131.55, 11945173, 15732.39, 3847938, 32.21
POWERGRID,1, EQ, 217.30, 8725869, 18905.21, 5223764, 59.87
RELIANCE,1, EQ, 2471.60, 3804352, 94786.48, 1689855, 44.42
SBILIFE,1, EQ, 1246.35, 1020728, 12672.63, 460196, 45.09
SBIN,1, EQ, 560.85, 11767639, 66216.48, 4401295, 37.40
SHREECEM,1, EQ, 20935.20, 108220, 23241.10, 30005, 27.73
SUNPHARMA,1, EQ, 977.70, 1791608, 17644.47, 947703, 52.90
TATACONSUM,1, EQ, 761.65, 1692279, 12988.95, 523298, 30.92
TATAMOTORS,1, EQ, 398.05, 10279618, 41016.87, 2493105, 24.25
TATASTEEL,1, EQ, 100.20, 30973997, 31055.18, 10717692, 34.60
TCS,1, EQ, 3137.40, 1021913, 32103.89, 539414, 52.78
TECHM,1, EQ, 1041.15, 1202009, 12483.42, 620801, 51.65
TITAN,1, EQ, 2665.65, 986521, 26304.12, 385912, 39.12
ULTRACEMCO,1, EQ, 6362.90, 307899, 19653.00, 106895, 34.72
UPL,1, EQ, 700.20, 5022081, 35673.78, 1821483, 36.27
WIPRO,1, EQ, 382.55, 4465770, 17061.87, 2416117, 54.10
